HSHD_NUM,L,AGE_RANGE,MARITAL,INCOME_RANGE,HOMEOWNER,HSHD_COMPOSITION,HH_SIZE,CHILDREN
2022,Y,35-44                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Homeowner,Single Male      ,1.0,1.24
4414,Y,35-44                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
992,Y,35-44                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Renter   ,Single Male      ,1.0,1.24
2077,Y,35-44                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
4439,Y,35-44                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,Single Male      ,1.0,1.24
1082,Y,35-44                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Renter   ,Single Male      ,1.0,1.24
1632,N,45-54                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Homeowner,Single Male      ,1.0,1.24
1349,N,45-54                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Renter   ,Single Male      ,1.0,1.24
3758,Y,45-54                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
3163,Y,45-54                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
4061,Y,45-54                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Renter   ,Single Male      ,1.0,1.24
4813,Y,45-54                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
4432,Y,45-54                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Unknown,Single Male      ,1.0,1.24
1567,Y,45-54                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,Single Male      ,1.0,1.24
2436,Y,55-64                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Homeowner,Single Male      ,1.0,1.24
1165,Y,55-64                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
1308,N,55-64                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
4105,Y,55-64                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Renter   ,Single Male      ,1.0,1.24
2652,N,55-64                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
575,Y,65-74                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
4724,N,65-74                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
2707,N,65-74                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,Single Male      ,1.0,1.24
4146,Y,65-74                                                                                                                                                                                                   ,Unknown,UNDER 35K                                                                                                                                                                                               ,Renter   ,Single Male      ,1.0,1.24
794,Y,75+                                                                                                                                                                                                     ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
4587,N,75+                                                                                                                                                                                                     ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,Single Female    ,1.0,1.24
986,Y,Unknown,Single ,35-49K                                                                                                                                                                                                  ,Renter   ,Single Female    ,1.0,1.24
2244,Y,Unknown,Single ,35-49K                                                                                                                                                                                                  ,Renter   ,Single Female    ,1.0,1.24
779,Y,Unknown,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
4011,Y,Unknown,Single ,75-99K                                                                                                                                                                                                  ,Unknown,Single Female    ,1.0,1.24
4351,Y,25-34                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Renter   ,Single Female    ,1.0,1.24
2066,Y,25-34                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Unknown,Single Female    ,1.0,1.24
2762,Y,25-34                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,Single Female    ,1.0,1.24
3243,Y,25-34                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,Single Female    ,1.0,1.24
4498,N,25-34                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
4604,Y,25-34                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,Single Female    ,1.0,1.24
1399,N,25-34                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Renter   ,Single Female    ,1.0,1.24
2178,Y,25-34                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,Single Female    ,1.0,1.24
1861,Y,35-44                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,Single Female    ,1.0,1.24
4218,Y,35-44                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
1660,Y,35-44                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Renter   ,Single Female    ,1.0,1.24
4745,N,35-44                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Renter   ,Single Female    ,1.0,1.24
2211,N,45-54                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
3467,N,45-54                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,Single Female    ,1.0,1.24
4005,Y,45-54                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
4716,N,45-54                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
139,Y,55-64                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Renter   ,Single Female    ,1.0,1.24
1916,N,55-64                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
2575,Y,55-64                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
3800,N,55-64                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
554,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Unknown,Single Female    ,1.0,1.24
225,N,65-74                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
1132,Y,65-74                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
2442,Y,65-74                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
308,Y,65-74                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1.0,1.24
4078,Y,19-24                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Homeowner,1 Adult and Kids ,2.0,1.0
2004,Y,25-34                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Homeowner,1 Adult and Kids ,2.0,1.0
1034,Y,25-34                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Renter   ,1 Adult and Kids ,2.14,1.24
3670,Y,25-34                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,1 Adult and Kids ,2.0,1.0
3784,Y,25-34                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,3.0,2.0
3105,Y,25-34                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,2.14,1.24
4057,Y,25-34                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,2.0,1.0
3003,Y,25-34                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,2.0,1.0
3398,Y,25-34                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,2.0,1.0
4740,Y,25-34                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult and Kids ,2.0,1.0
438,Y,35-44                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Renter   ,1 Adult and Kids ,2.0,1.0
